,Year,Type,Country,Area,Activity,Sex ,Fatal (Y/N),Month,New_Age
30,2018,Unprovoked,BAHAMAS,New Providence,Surfing,M,N,4,
31,2018,Invalid,BRAZIL,Alagoas,Fishing,M,N,4,56
32,2018,Unprovoked,NEW CALEDONIA,,Surfing,,N,4,
33,2018,Unprovoked,BAHAMAS,,Swimming,M,N,4,12
34,2018,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,N,4,19
35,2018,Unprovoked,USA,Hawaii,Surfing,M,N,3,25
36,2018,Unprovoked,AUSTRALIA,Western Australia,Swimming,M,N,3,10
37,2018,Unprovoked,AUSTRALIA,Victoria,Swimming,M,N,3,69
38,2018,Unprovoked,AUSTRALIA,Victoria,Surfing,M,N,3,18
39,2018,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Water Sports,M,N,2,38
40,2018,Unprovoked,AUSTRALIA,New South Wales,Swimming,F,N,2,55
41,2018,Provoked,AUSTRALIA,Victoria,Fishing,M,N,2,34
42,2018,Unprovoked,AUSTRALIA,New South Wales,Swimming,M,N,2,35
43,2018,Invalid,AUSTRALIA,Queensland,Swimming,F,N,2,
44,2018,Invalid,BRAZIL,"Boi Island, Victoria",Fishing,F,N,2,46
45,2018,Unprovoked,ECUADOR,Galapagos Islands,Water Sports,M,N,2,45
46,2018,Invalid,AUSTRALIA,Western Australia,Fishing,M,N,2,14
47,2018,Unprovoked,AUSTRALIA,Western Australia,,M,N,1,18
48,2018,Unprovoked,NEW CALEDONIA,,Fishing,M,N,1,40
49,2018,Unprovoked,AUSTRALIA,Queensland,Water Sports,M,N,1,
50,2018,Unprovoked,AUSTRALIA,New South Wales,Water Sports,M,N,1,28
51,2018,Unprovoked,BRAZIL,Fernando de Noronha,Surfing,M,N,1,20
52,2018,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,N,1,
53,2017,Unprovoked,USA,Hawaii,Surfing,F,N,12,54
54,2017,Unprovoked,USA,California,Surfing,F,N,12,35
55,2017,Provoked,MALAYSIA,Sepang,Swimming,M,N,12,24
56,2017,Unprovoked,BAHAMAS,,Water Sports,F,N,12,25
57,2017,Unprovoked,COSTA RICA,Cocos Island,Water Sports,M,N,11,26
58,2017,Unprovoked,COSTA RICA,Cocos Island,Water Sports,F,Y,11,49
59,2017,Sea Disaster,LIBYA,,Water Sports,,Y,11,
60,2017,Unprovoked,USA,California,Fishing,M,N,11,25
61,2017,Unprovoked,USA,Florida,Surfing,F,N,11,14
62,2017,Unprovoked,,,Surfing,M,N,11,24
63,2017,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,N,11,25
64,2017,Unprovoked,CUBA,Holquin Province,Swimming,M,Y,11,22
65,2017,Unprovoked,AUSTRALIA,Queensland,Water Sports,M,N,10,7
66,2017,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,N,10,31
67,2017,Unprovoked,USA,Hawaii,Surfing,M,N,10,
68,2017,Unprovoked,MAURITIUS,Pamplemousses ,Swimming,M,N,10,
69,2017,Unprovoked,USA,Florida,Surfing,M,N,10,17
70,2017,Unprovoked,USA,Florida,Swimming,F,N,10,60
71,2017,Unprovoked,AUSTRALIA,South Australia,Fishing,F,N,10,15
72,2017,Unprovoked,NEW ZEALAND,North Island,Water Sports,M,N,10,
73,2017,Unprovoked,USA,Florida,Swimming,M,N,10,
74,2017,Unprovoked,USA,Hawaii,Surfing,M,N,10,54
75,2017,Unprovoked,USA,Hawaii,Water Sports,F,N,10,40
76,2017,Invalid,SOUTH AFRICA,Western Cape Province,Water Sports,M,,10,31
77,2017,Unprovoked,USA,Florida,Surfing,M,N,9,
78,2017,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,N,9,
79,2017,Invalid,USA,New York,Surfing,M,,9,33
80,2017,Unprovoked,USA,Florida,Surfing,M,N,9,
81,2017,Unprovoked,USA,Florida,Surfing,M,N,9,
82,2017,Unprovoked,SPAIN,Canary Islands,Surfing,M,N,9,13
83,2017,Unprovoked,USA,Florida,Surfing,M,N,9,28
84,2017,Invalid,SOUTH AFRICA,Western Cape Province,Water Sports,M,,9,25
86,2017,Boat,AUSTRALIA,Westerm Australia,Fishing,,N,9,
87,2017,Unprovoked,USA,Florida,Surfing,M,N,9,18
88,2017,Unprovoked,AUSTRALIA,Westerm Australia,Swimming,M,N,9,
89,2017,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,N,9,35
90,2017,Unprovoked,SOLOMON ISLANDS,,Fishing,M,N,9,
91,2017,Unprovoked,SOUTH AFRICA,Western Cape Province,Swimming,M,Y,9,
92,2017,Unprovoked,JAPAN,Shizuoka Prefecture,Surfing,M,N,9,42
93,2017,Unprovoked,USA,Florida,Swimming,M,N,9,
94,2017,Unprovoked,USA,Texas,Swimming,F,N,9,
95,2017,Unprovoked,USA,Florida,Surfing,M,N,9,17
96,2017,Unprovoked,AUSTRALIA,Victoria,Surfing,M,N,8,37
97,2017,Unprovoked,USA,Florida,Swimming,F,N,8,3
98,2017,Invalid,SPAIN,Castellón,Swimming,F,,8,11
99,2017,Unprovoked,NEW ZEALAND,North Island,Water Sports,M,N,8,
100,2017,Unprovoked,USA,Massachusetts,Other,M,N,8,69
101,2017,Unprovoked,BAHAMAS,,Fishing,M,N,8,
102,2017,Unprovoked,USA,South Carolina,Swimming,M,N,8,13
103,2017,Unprovoked,EGYPT,Red Sea Protectorate,Water Sports,F,N,8,20
104,2017,Provoked,USA,Massachusetts,Fishing,M,N,8,34
105,2017,Boat,USA,California,Fishing,M,N,8,
106,2017,Unprovoked,USA,Florida,Surfing,M,N,7,15
107,2017,Invalid,USA,South Carolina,Swimming,M,,7,10
108,2017,Unprovoked,USA,South Carolina,,F,N,7,12
109,2017,Unprovoked,BAHAMAS,New Providence District,Water Sports,F,N,7,
110,2017,Unprovoked,BAHAMAS,40 miles off Grand Bahama Island,Fishing,M,N,7,
111,2017,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,Surfing,M,N,7,37
112,2017,Unprovoked,USA,New Jersey,,F,N,7,
113,2017,Unprovoked,SPAIN,Majorca,Swimming,F,N,7,
114,2017,Unprovoked,USA,Florida,,F,N,7,40
115,2017,Invalid,USA,South Carolina,Swimming,F,,7,8
116,2017,Boat,USA,California,Water Sports,M,N,7,40
117,2017,Unprovoked,USA,California,Other,M,N,7,50
118,2017,Unprovoked,USA,Washington,Surfing,M,N,7,
119,2017,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,N,7,
120,2017,Boat,USA,California,Water Sports,M,N,7,
121,2017,Unprovoked,USA,Florida,Swimming,M,N,7,46
122,2017,Provoked,MEXICO,Tabasco,Fishing,M,N,7,32
123,2017,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,F,N,7,13
124,2017,Invalid,COMOROS,Anjouan,Fishing,,,7,
125,2017,Invalid,USA,South Carolina,Fishing,M,,6,
126,2017,Unprovoked,USA,South Carolina,Swimming,F,N,6,16
127,2017,Unprovoked,USA,Florida,Surfing,M,N,6,
128,2017,Unprovoked,USA,South Carolina,Swimming,F,N,6,14
129,2017,Unprovoked,REUNION,,Surfing,M,N,6,34
130,2017,Unprovoked,SPAIN,Ibiza Island,Swimming,M,N,6,82
131,2017,Unprovoked,FRENCH POLYNESIA,Marquesas,Surfing,M,N,6,
132,2017,Unprovoked,BAHAMAS,,Other,F,N,6,
133,2017,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,N,6,48
